non_translated_id,language_id,title,value
1,1,District Overview – Overall Grade 1,"<p>A–F/campus ratings are used to show how well districts and schools are meeting the needs of all students and how well they are preparing them for success after high school. Much like the grades students receive, these ratings can help schools improve over time.</p>"
2,1,District Overview – Overall Grade 2,"<p>Schools that earn an <strong>A</strong> (90–100) for <strong>exemplary</strong> performance serve most students well, and almost all students demonstrate appropriate academic growth. Most students are on track to be prepared for success after high school.<p>"
3,1,District Overview – Overall Grade 2,<p>Schools that earn an <strong>B</strong> (80–89) for <strong>good</strong> performance …<p>
4,1,District Overview – Overall Grade 2,<p>Schools that earn an <strong>C</strong> (70–79) for <strong>average</strong> performance …<p>
5,1,District Overview – Overall Grade 2,<p>Schools that earn an <strong>D</strong> (60–69) for <strong>below average</strong> performance …<p>
6,1,District Overview – Overall Grade 2,<p>Schools that earn an <strong>F</strong> (less than 60) for <strong>poor</strong> performance …<p>
7,1,District Overview – Overall Grade 3,"<p>The overall rating based is based on a school's performance in three different areas, or domains:</p><ol><li>Student Achievement</li><li>School Progress</li><li>Closing the Gaps</li></ol>"
8,1,District Overview – Student Achievement 1,"<p>Student Achievement uses student performance on the State of Texas Assessment of Academic Readiness or STAAR test. In high school, it also measures how many graduates are ready college, the workforce, or the military.</p>"
9,1,District Overview – Student Achievement 2,"<p>Schools earn an <strong>A</strong> (90–100) for the <strong>exemplary</strong> achievement of students when at least 60% of students meet grade level [HS ONLY: and at least 60% of graduates are college ready, obtain a specialized career credential, or enlist in the military]</p>"
10,1,District Overview – Student Achievement 2,<p>Schools that earn an <strong>B</strong> (80–89) for <strong>good</strong> performance …<p>
11,1,District Overview – Student Achievement 2,<p>Schools that earn an <strong>C</strong> (70–79) for <strong>average</strong> performance …<p>
12,1,District Overview – Student Achievement 2,<p>Schools that earn an <strong>D</strong> (60–69) for <strong>below average</strong> performance …<p>
13,1,District Overview – Student Achievement 2,<p>Schools that earn an <strong>F</strong> (less than 60) for <strong>poor</strong> performance …<p>
14,1,District Overview – School Progress 1,<p>School Progress shows much students are learning and improving from one year to the next. It also looks at the level of student achievement compared to similar schools.</p>
15,1,District Overview – School Progress 2,"<p>Schools earn an A (90–100) for exemplary progress with students when</p><ul><li>about 80% or more of students have made a year’s worth of academic gains, or</li><li>a school’s achievement is far above average compared to similar schools.</li></ul>"
16,1,District Overview – School Progress 2,<p>Schools that earn an <strong>B</strong> (80–89) for <strong>good</strong> performance …<p>
